AppName,TCID,STATUS,EXEDATE,RCA  (ENV|CODE|DATA|REQ)
UberEats,150,Pass,05.01.19,
Guardian,62,Pass,05.23.19,
ACM,151,Pass,09.23.19,
Instagram,81,Fail,08.12.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Zomato,116,Fail,07.22.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,69,Fail,09.23.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Uber,174,Fail,08.28.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Netflix,23,Fail,07.23.19,PROD|import numpy as np|numpy: Package not found|importing
Uber,39,Pass,07.13.19,
Facebook,40,Fail,09.22.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Uber,72,Fail,07.04.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,155,Fail,05.04.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,176,Pass,08.02.19,
Netflix,175,Fail,04.30.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Zomato,57,Pass,06.02.19,
Hotstar,198,Fail,09.06.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Uber,187,Pass,08.30.19,
Facebook,20,Fail,08.21.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Facebook,19,Pass,04.05.19,
Instagram,68,Fail,09.18.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Guardian,164,Fail,06.30.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Netflix,10,Pass,08.01.19,
Zomato,16,Pass,07.20.19,
Netflix,191,Pass,08.05.19,
Netflix,96,Pass,04.15.19,
Zomato,169,Pass,06.21.19,
Zomato,73,Pass,06.26.19,
Netflix,125,Fail,05.31.19,PROD|import numpy as np|numpy: Package not found|importing
Instagram,156,Fail,08.04.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,154,Pass,05.05.19,
Guardian,173,Fail,04.02.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,92,Fail,07.08.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Hotstar,57,Fail,07.24.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Hotstar,17,Pass,07.11.19,
Facebook,152,Fail,04.16.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,200,Fail,05.21.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Netflix,5,Pass,07.27.19,
Hotstar,11,Fail,08.15.19,PROD|import numpy as np|numpy: Package not found|importing
Guardian,90,Fail,07.07.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Uber,76,Fail,04.29.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,90,Pass,04.19.19,
Facebook,10,Fail,09.13.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
UberEats,4,Fail,08.09.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Netflix,9,Pass,04.04.19,
ACM,144,Pass,08.23.19,
Netflix,106,Pass,07.08.19,
Facebook,46,Fail,04.29.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Facebook,28,Fail,09.11.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Hotstar,124,Pass,04.22.19,
UberEats,160,Fail,07.29.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,34,Pass,07.29.19,
Instagram,107,Pass,04.29.19,
Netflix,173,Fail,04.08.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,80,Fail,04.18.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Netflix,182,Fail,04.10.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,35,Fail,05.31.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,89,Fail,08.29.19,UAT|import pandasa as pd|pandas: Package not found|importing
ACM,51,Fail,08.08.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Uber,164,Fail,05.07.19,UAT|import pandasa as pd|pandas: Package not found|importing
TechCrunch,127,Fail,05.22.19,PROD|import numpy as np|numpy: Package not found|importing
Facebook,60,Pass,08.26.19,
ACM,25,Pass,09.27.19,
Zomato,146,Pass,08.21.19,
Guardian,122,Fail,05.30.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Hotstar,37,Fail,07.05.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
UberEats,95,Fail,05.16.19,UAT|import pandasa as pd|pandas: Package not found|importing
Guardian,25,Fail,08.31.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
UberEats,77,Pass,07.01.19,
ACM,175,Pass,05.19.19,
Facebook,119,Fail,04.21.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Zomato,89,Pass,05.25.19,
Hotstar,27,Pass,07.31.19,
Netflix,1,Pass,04.03.19,
Instagram,54,Fail,07.14.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
TechCrunch,6,Fail,08.24.19,UAT|import pandasa as pd|pandas: Package not found|importing
Netflix,49,Pass,04.12.19,
Guardian,132,Pass,05.29.19,
Instagram,84,Pass,04.07.19,
Zomato,38,Fail,07.26.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,91,Pass,06.20.19,
Uber,88,Pass,05.23.19,
Hotstar,101,Pass,04.14.19,
UberEats,46,Pass,08.31.19,
Uber,14,Pass,06.07.19,
Hotstar,130,Fail,04.01.19,UAT|import pandasa as pd|pandas: Package not found|importing
Uber,153,Pass,09.07.19,
TechCrunch,82,Fail,07.24.19,UAT|import pandasa as pd|pandas: Package not found|importing
UberEats,166,Pass,04.25.19,
Facebook,83,Fail,07.05.19,UAT|import pandasa as pd|pandas: Package not found|importing
Facebook,151,Fail,09.05.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Zomato,167,Fail,08.31.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,39,Pass,05.12.19,
Guardian,110,Fail,04.30.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,195,Pass,05.14.19,
Uber,124,Pass,07.30.19,
Instagram,52,Pass,07.09.19,
TechCrunch,90,Fail,09.24.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Guardian,168,Fail,06.23.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
UberEats,79,Pass,07.03.19,
Guardian,21,Pass,08.22.19,
TechCrunch,19,Pass,07.25.19,
Zomato,154,Fail,04.26.19,PROD|import numpy as np|numpy: Package not found|importing
Hotstar,128,Pass,05.15.19,
TechCrunch,141,Pass,04.16.19,
Hotstar,150,Pass,04.27.19,
Hotstar,106,Fail,06.16.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,178,Fail,08.30.19,PROD|import numpy as np|numpy: Package not found|importing
Instagram,120,Fail,08.17.19,UAT|import pandasa as pd|pandas: Package not found|importing
Instagram,137,Pass,09.18.19,
Facebook,171,Fail,09.23.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,58,Fail,08.23.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Hotstar,24,Fail,09.04.19,UAT|import pandasa as pd|pandas: Package not found|importing
UberEats,193,Fail,05.03.19,UAT|import pandasa as pd|pandas: Package not found|importing
Uber,85,Fail,08.25.19,UAT|import pandasa as pd|pandas: Package not found|importing
UberEats,111,Pass,05.03.19,
Uber,168,Pass,06.26.19,
Netflix,96,Fail,05.29.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
UberEats,74,Pass,09.06.19,
Uber,189,Pass,07.30.19,
TechCrunch,45,Pass,05.10.19,
TechCrunch,158,Fail,07.02.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Netflix,147,Fail,09.28.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Netflix,180,Fail,04.19.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,139,Pass,09.11.19,
TechCrunch,11,Pass,06.04.19,
Facebook,148,Pass,06.21.19,
UberEats,100,Pass,04.08.19,
Guardian,127,Fail,05.24.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,4,Fail,04.14.19,UAT|import pandasa as pd|pandas: Package not found|importing
Instagram,51,Fail,04.21.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,173,Fail,04.23.19,UAT|import pandasa as pd|pandas: Package not found|importing
Netflix,174,Fail,08.07.19,PROD|import numpy as np|numpy: Package not found|importing
UberEats,94,Fail,09.16.19,PROD|import numpy as np|numpy: Package not found|importing
TechCrunch,104,Fail,07.03.19,UAT|import pandasa as pd|pandas: Package not found|importing
Zomato,54,Pass,06.22.19,
Instagram,134,Pass,06.06.19,
Hotstar,51,Fail,07.03.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
ACM,168,Fail,06.01.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
UberEats,38,Pass,09.18.19,
Uber,83,Fail,06.11.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
ACM,187,Fail,09.17.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,11,Pass,09.09.19,
Zomato,189,Pass,06.04.19,
Hotstar,102,Fail,06.01.19,UAT|import pandasa as pd|pandas: Package not found|importing
Netflix,194,Pass,09.15.19,
Instagram,91,Pass,07.27.19,
UberEats,190,Pass,06.13.19,
ACM,2,Pass,07.21.19,
Instagram,146,Pass,09.07.19,
Facebook,127,Pass,09.28.19,
Zomato,199,Fail,06.07.19,PROD|import numpy as np|numpy: Package not found|importing
Guardian,5,Pass,09.14.19,
Instagram,30,Fail,06.13.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,43,Pass,05.30.19,
UberEats,119,Pass,08.26.19,
Netflix,136,Fail,07.06.19,PROD|import numpy as np|numpy: Package not found|importing
Guardian,145,Pass,08.10.19,
Zomato,42,Fail,07.03.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Netflix,158,Pass,09.12.19,
ACM,54,Fail,08.10.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Facebook,61,Pass,09.11.19,
UberEats,196,Fail,08.31.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Netflix,161,Pass,09.19.19,
Facebook,32,Pass,06.06.19,
TechCrunch,189,Pass,09.10.19,
Netflix,134,Pass,04.12.19,
TechCrunch,144,Pass,06.21.19,
Hotstar,101,Fail,04.19.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Hotstar,184,Pass,07.21.19,
ACM,132,Pass,05.13.19,
ACM,143,Fail,05.26.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
UberEats,173,Pass,04.16.19,
Guardian,25,Pass,05.17.19,
Hotstar,23,Fail,08.28.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Guardian,23,Pass,08.26.19,
Guardian,78,Fail,08.09.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,73,Fail,05.29.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Instagram,6,Pass,09.09.19,
Zomato,145,Fail,05.25.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,171,Fail,06.21.19,UAT|import pandasa as pd|pandas: Package not found|importing
Zomato,136,Fail,05.02.19,UAT|import pandasa as pd|pandas: Package not found|importing
Uber,17,Fail,05.29.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
ACM,122,Fail,04.15.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,161,Fail,08.22.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Guardian,152,Pass,05.02.19,
Instagram,95,Fail,08.20.19,PROD|import numpy as np|numpy: Package not found|importing
Zomato,90,Fail,06.20.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Facebook,167,Fail,05.20.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,20,Pass,08.21.19,
UberEats,135,Pass,07.21.19,
Hotstar,118,Fail,06.01.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Uber,121,Pass,07.19.19,
Instagram,1,Pass,08.18.19,
Guardian,189,Pass,05.29.19,
Facebook,29,Pass,07.31.19,
TechCrunch,57,Fail,09.17.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,188,Pass,04.27.19,
Zomato,145,Pass,04.02.19,
UberEats,61,Pass,05.06.19,
Uber,82,Pass,09.25.19,
TechCrunch,49,Fail,05.28.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Instagram,153,Pass,05.16.19,
Netflix,92,Fail,07.11.19,UAT|import pandasa as pd|pandas: Package not found|importing
Instagram,184,Fail,09.25.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,91,Pass,08.01.19,
UberEats,106,Pass,06.25.19,
Netflix,26,Pass,07.25.19,
Guardian,107,Fail,05.16.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Facebook,106,Fail,08.04.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Zomato,190,Fail,08.29.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
TechCrunch,37,Fail,06.08.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
Hotstar,103,Pass,06.05.19,
Netflix,7,Fail,04.10.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Guardian,189,Pass,09.17.19,
TechCrunch,168,Fail,07.12.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Facebook,169,Fail,04.21.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Facebook,199,Pass,07.21.19,
ACM,145,Pass,06.30.19,
Zomato,120,Fail,08.19.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,110,Fail,06.03.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Instagram,133,Pass,09.27.19,
Guardian,119,Fail,09.04.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Guardian,22,Pass,05.07.19,
Instagram,116,Pass,05.01.19,
Instagram,184,Pass,09.05.19,
Zomato,20,Fail,08.27.19,PROD|import numpy as np|numpy: Package not found|importing
Uber,91,Fail,05.18.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Uber,64,Pass,07.10.19,
Zomato,146,Fail,07.31.19,UAT|import pandasa as pd|pandas: Package not found|importing
TechCrunch,168,Pass,08.24.19,
ACM,56,Fail,08.18.19,UAT|import pandasa as pd|pandas: Package not found|importing
TechCrunch,174,Fail,09.06.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
ACM,198,Pass,09.06.19,
ACM,60,Pass,04.04.19,
Netflix,73,Fail,06.01.19,PROD|import numpy as np|numpy: Package not found|importing
Facebook,191,Pass,08.26.19,
Facebook,78,Fail,06.23.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
Hotstar,177,Fail,05.21.19,PROD|import numpy as np|numpy: Package not found|importing
TechCrunch,161,Pass,04.30.19,
Netflix,72,Fail,06.15.19,PROD|import numpy as np|numpy: Package not found|importing
TechCrunch,53,Fail,07.02.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,55,Pass,09.04.19,
ACM,120,Fail,06.01.19,PROD|import numpy as np|numpy: Package not found|importing
Guardian,172,Pass,06.19.19,
Zomato,192,Pass,09.13.19,
UberEats,99,Fail,05.07.19,UAT|import pandasa as pd|pandas: Package not found|importing
ACM,57,Fail,09.26.19,UAT|import pandasa as pd|pandas: Package not found|importing
UberEats,33,Fail,05.25.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
TechCrunch,127,Pass,09.20.19,
Uber,188,Fail,05.15.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Guardian,80,Pass,08.17.19,
Uber,158,Fail,07.04.19,PROD|import numpy as np|numpy: Package not found|importing
Facebook,148,Fail,08.05.19,PROD|import numpy as np|numpy: Package not found|importing
TechCrunch,85,Fail,09.20.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
TechCrunch,89,Fail,07.09.19,"DEV|print(""a[10]"")|No varible named a|retrive data"
Netflix,164,Fail,04.11.19,UAT|import pandasa as pd|pandas: Package not found|importing
Netflix,158,Fail,05.15.19,"DEV|plt.plot(x,y)|x,y : undefined variables|plotting"
TechCrunch,20,Fail,05.28.19,"STG|for i in range(0,2)|List out of Index [23]|looping"
ACM,198,Fail,08.25.19,PROD|import numpy as np|numpy: Package not found|importing
ACM,30,Pass,07.27.19,
ACM,65,Pass,04.03.19,
